"YEAR","State","Voted","nVote","nWgtVote","n","nWgt","sampPropVote","wgtPropVote"
2018,"Iowa","Voted",618,1334819.6202,899,1933356.1235,0.687430478309232,0.690415802849371
2018,"Kansas","Voted",646,1151910.4838,985,1770492.3753,0.655837563451777,0.650615896385781
2018,"Kentucky","Voted",660,1746433.5813,1098,2989768.3299,0.601092896174863,0.584136758635882
2018,"Louisiana","Voted",1040,1656009.9021,1672,2691284.349,0.62200956937799,0.61532327593527
2018,"Maine","Voted",537,692771.3748,722,951105.2326,0.743767313019391,0.728385620281152
2018,"Maryland","Voted",641,2320069.7497,943,3463351.128,0.679745493107105,0.669891577248127
2018,"Massachusetts","Voted",1038,2731358.5757,1476,3931742.9365,0.703252032520325,0.694694088553874
2018,"Michigan","Voted",1256,4417738.5883,1728,6136196.004,0.726851851851852,0.719947437373286
2018,"Minnesota","Voted",759,2523069.1501,1021,3429184.2836,0.743388834476004,0.735763651480186
2018,"Mississippi","Voted",965,1180448.6052,1520,1901532.6972,0.634868421052632,0.620787960647853
2018,"Missouri","Voted",779,2508802.5501,1154,3812723.717,0.675043327556326,0.658007958697313
2018,"Montana","Voted",1106,518357.4075,1485,712497.5948,0.744781144781145,0.72752162432984
2018,"Nebraska","Voted",572,675942.9045,932,1123073.7784,0.613733905579399,0.601868655025487
2018,"Nevada","Voted",550,1006339.5343,891,1657937.3947,0.617283950617284,0.606982831509205
2018,"New Hampshire","Voted",714,576122.37,1056,864060.8575,0.676136363636364,0.666761333995505
2018,"New Jersey","Voted",915,3384189.5677,1343,5017628.9035,0.681310498883098,0.674459915785998
2018,"New Mexico","Voted",772,714645.3187,1298,1242126.3969,0.594761171032357,0.575340255616139
2018,"New York","Voted",1764,6775152.7532,2647,10290346.0041,0.666414809217983,0.658398925604694
2018,"North Carolina","Voted",1075,3899275.0678,1649,6079994.9667,0.651910248635537,0.641328667072299
2018,"North Dakota","Voted",858,335081.5059,1195,479040.181,0.717991631799163,0.699485177215228
2018,"Ohio","Voted",1245,4537990.1805,2017,7588933.7779,0.617253346554289,0.597974671187043
2018,"Oklahoma","Voted",676,1349958.8528,1146,2355678.7203,0.589877835951134,0.573065775551973
2018,"Oregon","Voted",804,1917952.605,1065,2578642.8896,0.754929577464789,0.743783721559643
2018,"Pennsylvania","Voted",1421,5172963.671,2171,7976545.8581,0.65453707968678,0.648521774089341
2018,"Rhode Island","Voted",483,403106.2611,739,638364.6277,0.653585926928281,0.631467101415651
2018,"South Carolina","Voted",756,1835730.6404,1209,3010868.7607,0.62531017369727,0.60970131423902
2018,"South Dakota","Voted",579,330676.6539,936,546008.2743,0.618589743589744,0.605625719361008
2018,"Tennessee","Voted",895,2486853.3888,1533,4298195.2246,0.58382257012394,0.578580836572269
2018,"Texas","Voted",2287,8885606.2679,3832,15188836.1385,0.596816283924843,0.585009028135945
2018,"Utah","Voted",792,1214319.2325,1196,1881719.6329,0.662207357859532,0.645324208383031
2018,"Vermont","Voted",733,272680.7429,1068,404453.5585,0.686329588014981,0.674195435222015
2018,"Virginia","Voted",941,3319389.8436,1363,4828271.5914,0.690388848129127,0.687490291455936
2018,"Washington","Voted",998,3233835.4296,1381,4536634.0531,0.722664735698769,0.712827041314967
2018,"West Virginia","Voted",963,610208.7967,1772,1161017.3119,0.543453724604966,0.525581135135182
2018,"Wisconsin","Voted",866,2775936.8408,1150,3787911.1978,0.75304347826087,0.732841055622489
2018,"Wyoming","Voted",700,220136.5703,1126,359254.9991,0.621669626998224,0.612758544352849
